,Control de Vacantes,,,,,,,Vacantes Activas,7,,,,,,,,,,,,,,
,,,,,,,,,46287,,,,,,,,,,,,,,
,ID Vacante,Cargo,Unidad de Negocio,Fecha Apertura,Mes,Año,Fecha Ingreso,Estatus,Fuente de Reclutamiento,,,,,,,,,,,,,,
,VAC-048,Ayudante de Mesonero,BU4BAV,46232.0,July,2026.0,46234.0,Cubierta,,,,,,,,,,,,,,,
,VAC-049,Mantenimiento,BU16BER,46232.0,July,2026.0,46255.0,Cubierta,,,,,,,,,,,,,,,
,VAC-050,Ayudante Integral,BU3BLN,46233.0,July,2026.0,46234.0,Cubierta,,,,,,,,,,,,,,,
,VAC-051,Ayudante Integral,BU4BAV,46233.0,July,2026.0,46235.0,Cubierta,,,,,,,,,,,,,,,
,VAC-052,Ayudante Integral,BU19BM,46233.0,July,2026.0,46234.0,Cubierta,,,,,,,,,,,,,,,
,VAC-053,Ayudante Integral,BU4BAV,46234.0,July,2026.0,46240.0,Cubierta,,,,,,,,,,,,,,,
,VAC-054,Mantenimiento,BU11ANN,46234.0,July,2026.0,46238.0,Cubierta,,,,,,,,,,,,,,,
,VAC-055,Anfitriona,BU6BSLC,46237.0,August,2026.0,46240.0,Cubierta,,,,,,,,,,,,,,,
,VAC-056,Ayudante de Mesonero,BU4BAV,46237.0,August,2026.0,46240.0,Cubierta,,,,,,,,,,,,,,,
,VAC-058,Empaquetadora,BU16BER,46237.0,August,2026.0,46238.0,Cubierta,,,,,,,,,,,,,,,
,VAC-059,Mantenimiento,BU11ANN,46237.0,August,2026.0,46238.0,Cubierta,,,,,,,,,,,,,,,
,VAC-060,Cocinero,BU4BAV,46237.0,August,2026.0,46239.0,Cubierta,,,,,,,,,,,,,,,
,VAC-061,Empaquetadora,BU15BEP,46237.0,August,2026.0,46238.0,Cubierta,,,,,,,,,,,,,,,
,VAC-062,Almacenista,Slob Supply,46237.0,August,2026.0,46248.0,Cubierta,,,,,,,,,,,,,,,
,VAC-063,Mantenimiento,BU13LG,46238.0,August,2026.0,46242.0,Cubierta,Referido,,,,,,,,,,,,,,
,VAC-064,Mantenimiento,BU11ANN,46239.0,August,2026.0,46241.0,Cubierta,,,,,,,,,,,,,,,
,VAC-065,Sushero,BU15BEP,46238.0,August,2026.0,46240.0,Cubierta,,,,,,,,,,,,,,,
,VAC-065,Cocinero,BU4BAV,46240.0,August,2026.0,46258.0,Cubierta,,,,,,,,,,,,,,,
,VAC-066,Sushero,BU1BLT,46240.0,August,2026.0,46248.0,Cubierta,,,,,,,,,,,,,,,
,VAC-067,Ayudante Integral,BU17ANNER,46244.0,August,2026.0,46246.0,Cubierta,,,,,,,,,,,,,,,
,VAC-067,Ayudante Integral,BU17ANNER,46244.0,August,2026.0,46248.0,Cubierta,,,,,,,,,,,,,,,
,VAC-066,Mantenimiento,BU1BLT,46247.0,August,2026.0,46261.0,Cubierta,CV Físico,,,,,,,,,,,,,,
,VAC-070,Empaquetadora,BU19BM,46248.0,August,2026.0,46249.0,Cubierta,,,,,,,,,,,,,,,
,VAC-071,Ayudante de Mesonero,BU4BAV,46251.0,August,2026.0,46259.0,Cubierta,,,,,,,,,,,,,,,
,VAC-072,Cocinero,BU4BAV,46251.0,August,2026.0,46254.0,Cubierta,,,,,,,,,,,,,,,
,VAC-073,Empaquetadora,BU2BLB,46251.0,August,2026.0,46253.0,Cubierta,,,,,,,,,,,,,,,
,VAC-074,Empaquetadora,BU19BM,46252.0,August,2026.0,46254.0,Cubierta,,,,,,,,,,,,,,,
,VAC-075,Empaquetadora,BU1BLT,46252.0,August,2026.0,46252.0,Cubierta,,,,,,,,,,,,,,,
,VAC-075,Cajera Salón,BU4BAV,46253.0,August,2026.0,46259.0,Cubierta,,,,,,,,,,,,,,,
,VAC-076,Mantenimiento,BU14BSC,46253.0,August,2026.0,46255.0,Cubierta,,,,,,,,,,,,,,,
,VAC-073,Sushero,BU14BSC,46255.0,August,2026.0,46255.0,Cubierta,,,,,,,,,,,,,,,
,VAC-073,Almacenista,Slob Supply,46255.0,August,2026.0,,En Proceso,,,,,,,,,,,,,,,
,VAC-074,Empaquetadora,BU1BLT,46258.0,August,2026.0,46261.0,Cubierta,,,,,,,,,,,,,,,
,VAC-075,Ayudante Integral,BU4BAV,46258.0,August,2026.0,46262.0,Cubierta,,,,,,,,,,,,,,,
